game_name,app_id,review_id,review_text,voted_up,votes_up,playtime_forever
Rust,252490,210652132,Fun!,True,0,13862
Rust,252490,210651544,greatness,True,0,10355
Rust,252490,210650746,"The game still rocks from wipe to wipe.
They constantly add new items, locations, experiment with gameplay. Not all the choices are successful though.
Still, the game is still replayable and also there are tons of modded servers to choose from",True,0,78749
Rust,252490,210649985,SHOOT FIRST ASK QUESTIONS NEVER!!!,True,0,90387
Rust,252490,210649537,"Rust is probably the best survival game on Steam, i can't get enough of it",True,0,3371
Rust,252490,210649208,"Log on and spawn in, run to monument, die. Respawn, run to tree, hit tree, die to random ak man. Respawn, suicide. Respawn, get eaten by tiger. Rage quit and repeat.",True,0,39569
Rust,252490,210648887,might ruin your life but its okay,True,0,62915
Rust,252490,210646347,"Shitty ass game crash's every 5 seconds LITERALY, and I'm using ethernet and I have a GOOD pc i spent 40 dollars on this damn game for no fucking reason.",False,0,1095
Rust,252490,210646232,rust rust is a very rust so its rusty,True,0,51960
Rust,252490,210645440,Best survival game,True,0,16811
Rust,252490,210644235,!!,True,0,67095
Rust,252490,210644191,good game,True,0,26139
Rust,252490,210642936,very fun,True,0,41393
Rust,252490,210642834,"alotof cheater
",True,0,2215
Rust,252490,210642525,"Love the game, too much fun. Both solo and with friends or randoms.

You can basically play as you wish. Farm, build or just k.o.s and snowball. The choice is yours.

There are plenty of modded servers for people like me, who arent unemployed and want to play a couple of hours.",True,0,71382
Rust,252490,210641758,good game.,True,0,15735
Rust,252490,210641310,makes you wanna bite into a brick.... 10/10,True,0,18007
Rust,252490,210641163,goty,True,0,24164
Rust,252490,210640710,"It's a very fun game, but damn is it addicting. I warn you from playing this game, because if you don't have like an entire month just for Rust, you'll be miserable. And if you do, you will be miserable anyway.. It's the thrill, the adrenaline that pushes you forward, but that's a dangerous slope.

Also you can destroy other people's days and know that you've made them miserable more. 10/10, will probably play again.",True,0,6641
Rust,252490,210640634,Best most frustrating game I've ever played. Would play more if I was unemployed.,True,0,9039
Rust,252490,210638818,The best drowned hours of my life are in this awesome game.,True,0,5475
Rust,252490,210638348,bruh,True,0,55173
Rust,252490,210637560,Addicting,True,0,9338
Rust,252490,210637271,good,True,0,7505
Rust,252490,210637009,"It's pretty fun. You do need decent specs to run this game though... I wish there was character creation. I just want to be able to play as my own gender, is that too hard to ask for?",True,0,914
Rust,252490,210636597,One of the worst games I've ever played,True,0,41497
Rust,252490,210634709,"FUN.
I Killed every single person i saw even the naked ones cause the  community is toxic and that's enjoyable.
it's more exciting to play with  friends.",True,0,2419
Rust,252490,210633417,Deserves the labor of love award :),True,0,2631
Rust,252490,210633257,the best,True,0,8943
Rust,252490,210632980,"Good game, if you have good teamates that don't go to every single oil even when primlocked",True,0,40227
Rust,252490,210631602,govno,True,0,40345
Rust,252490,210631033,Devs that care about their game and constant free updates. I spent $20 on this game in 2016 and I'm still playing it :),True,0,94218
Rust,252490,210631004,still enjoying,True,0,31757
Rust,252490,210629473,"this game will ruin your life, but its amazing, i cant stop playing it :)",True,0,126599
Rust,252490,210627960,Fun game,True,0,39188
Rust,252490,210626579,Awesome,True,0,34933
Rust,252490,210626296,Diller,True,0,2625
Rust,252490,210626004,GOTY,True,0,15491
Rust,252490,210625924,This game is addicting. Once you manage to get basics and build some designs it is great fun even solo :),True,0,58146
Rust,252490,210624214,"Wake up, you're naked. Now find a rock and try to survive!",True,0,169
Rust,252490,210623624,"YT make the game same easy but its realy hard ,still im having lot of fun 
",True,0,993
Rust,252490,210623030,It's a awesome survival game with different ways to play it.,True,0,90272
Rust,252490,210622229,yes,True,0,3980
Rust,252490,210618873,its good,True,0,3898
Rust,252490,210618704,best game for chill,True,0,420
Rust,252490,210618440,game is shit,False,0,289
Rust,252490,210616704,gg,True,0,333
Rust,252490,210615469,Sick one,True,0,7826
Rust,252490,210612905,.,True,0,7293
Rust,252490,210612804,s,True,0,86816
Rust,252490,210611693,sometimes maybe good sometimes maybe shit,True,0,119524
Rust,252490,210611657,удалите этот ужас,True,0,1597
Rust,252490,210610953,very fun,True,0,913
Rust,252490,210610021,"After this game, I became afraid of opening doors. Silence is just the beginning of the end.",True,0,14294
Rust,252490,210605947,this game is good when you play it with your friends,True,0,3376
Rust,252490,210602759,yes until you get raided offline,True,0,28792
Rust,252490,210602494,this game is fun but also hell,True,0,26969
Rust,252490,210601203,w,True,0,20059
Rust,252490,210600206,The best,True,1,73
Rust,252490,210599040,"Ммм чувствуете запах свежего мяса? Это говядина? Может даже на барбекю? Неее, это мое очко горит",True,0,6603
Rust,252490,210597748,kills brain cells,False,0,31537
Rust,252490,210597650,good game,True,0,800
Rust,252490,210596394,this game sucks.,True,0,26980
Rust,252490,210596219,"played this on console, even better and funnier on pc, would recommend!",True,0,192
Rust,252490,210594611,10/10 would not recommend,True,0,7114
Rust,252490,210594030,"Rust is the only game where you can log in, admire a beautiful sunrise… and immediately get clubbed to death by a naked guy with a rock. It’s basically National Geographic but everyone is hostile and somehow knows how to craft C4 out of trash.

You start with nothing—literally nothing—except a rock, pure hopes, and maybe a dream of building a tiny wooden shack. Five hours later, that shack is blown up by a clan of 27 teenagers who haven’t touched grass since 2016.

The building system is amazing though. I’ve constructed beautiful bases, perfectly organized storage, and even a cozy bedroom. Too bad they all get raided while I’m eating dinner.

Wildlife is also extremely realistic: the bears hate you, the wolves hate you, even the chickens somehow want you dead. I’m convinced the real final boss is dehydration because I die of thirst more often than to other players.

Rust is the only survival game where the biggest challenge isn’t nature, hunger, or radiation—it’s trust. If someone says “friendly,” assume they’re already aiming at your head.

Overall: incredible game, horrible for my mental health, 10/10 would get ambushed by a guy named xXx_K1LLG0D_xXx again.",True,0,72878
Rust,252490,210593780,:),True,0,3306
Rust,252490,210593561,toxic players,True,0,3600
Rust,252490,210592369,"It's one of the good games I've played, but it's not as interesting without a clan, and there's a special advantage in the visual aspect.",True,0,16545
Rust,252490,210591847,wonderful,True,0,13594
Rust,252490,210589384,"Every aspect of the game is here, awesome job Facepunch!",True,0,98093
